# wavelength,transmittance
4.778949999999999818e+02,2.215059040708000030e-03
4.788949999999999818e+02,3.138477682081699909e-03
4.798939999999999486e+02,4.185551902695299614e-03
4.808939999999999486e+02,4.702602143032800185e-03
4.818930000000000291e+02,4.262318384205100209e-03
4.828919999999999959e+02,3.386910848334299864e-03
4.838919999999999959e+02,2.402371030867499896e-03
4.848909999999999627e+02,1.586192378735200043e-03
4.858909999999999627e+02,1.420543724527500084e-03
4.868899999999999864e+02,2.251042228861800144e-03
4.878890000000000100e+02,4.198019726816699590e-03
4.888890000000000100e+02,6.127547260180899943e-03
4.898880000000000337e+02,6.674322944614900083e-03
4.908880000000000337e+02,5.468038792749399697e-03
4.918870000000000005e+02,3.641207113653600023e-03
4.928870000000000005e+02,2.642383472187400176e-03
4.938859999999999673e+02,3.209553517186099908e-03
4.948850000000000477e+02,5.166578528890499768e-03
4.958850000000000477e+02,8.021539907746200529e-03
4.968840000000000146e+02,1.091567638101700009e-02
4.978840000000000146e+02,1.318426137798599934e-02
4.988829999999999814e+02,1.463816329097199914e-02
4.998819999999999482e+02,1.520717113907700015e-02
5.008819999999999482e+02,1.488566079730999948e-02
5.018810000000000286e+02,1.371951135072600053e-02
5.028810000000000286e+02,1.218853798971700035e-02
5.038799999999999955e+02,1.046385775963500075e-02
5.048790000000000191e+02,8.857850265310999310e-03
5.058790000000000191e+02,7.464394146560700272e-03
5.068779999999999859e+02,6.492233348644699947e-03
5.078779999999999859e+02,6.386284118227899577e-03
5.088770000000000664e+02,7.292413546107199586e-03
5.098770000000000664e+02,8.573904779675499757e-03
5.108760000000000332e+02,9.284691345361499246e-03
5.118750000000000000e+02,9.229328664498199705e-03
5.128750000000000000e+02,9.015457504087399584e-03
5.138740000000000236e+02,9.641826475439600058e-03
5.148740000000000236e+02,1.091879426861399986e-02
5.158729999999999336e+02,1.176954868492799920e-02
5.168720000000000709e+02,1.149467037710900051e-02
5.178720000000000709e+02,1.064769778831400025e-02
5.188709999999999809e+02,1.111939605542200046e-02
5.198709999999999809e+02,1.350449152739400041e-02
5.208700000000000045e+02,1.666861177392900059e-02
5.218689999999999145e+02,1.806278068145900084e-02
5.228689999999999145e+02,1.703320832943500118e-02
5.238680000000000518e+02,1.500538043307499993e-02
5.248680000000000518e+02,1.447860609999000042e-02
5.258669999999999618e+02,1.657785767814999936e-02
5.268669999999999618e+02,1.958232809471999875e-02
5.278659999999999854e+02,2.164287510922899976e-02
5.288650000000000091e+02,2.220810195254899894e-02
5.298650000000000091e+02,2.210144862503499869e-02
